"Source:","/Users/perelopezveraguas/Documents/KICAD/SDR_1.2/SDR_1.2_Base/SDR_1.2_Base.kicad_sch"
"Date:","martes, 28 de junio de 2022, 18:18:33"
"Tool:","Eeschema (6.0.6-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet"
"","","C1","1uF","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","~"
"","","C2","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C3","22p","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C4","1uF","Device:C_Polarized","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","~"
"","","C5","10uF","Device:C_Polarized","Capacitor_SMD:C_Elec_5x5.4","~","~"
"","","C6","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C16","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C17",".47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","~"
"","","C18",".47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","~"
"","","C19",".47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","~"
"","","C20",".47u","Device:C","Capacitor_SMD:C_1206_3216Metric","~","~"
"","","C21","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C22","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C23","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C24","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C25","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C26","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C27","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C28","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C29","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C30","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C31","33p","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C33","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C34","1n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C35","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C36","10n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
"","","C37","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","~"
